// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1\bin\Release\net8.0\a8910b27-e9f1-4e60-b259-6120009f6a30\obj\Release\net8.0/" /p:OutDir="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1\bin\Release\net8.0\a8910b27-e9f1-4e60-b259-6120009f6a30\bin\Release\net8.0/" /p:OutputPath="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1\bin\Release\net8.0\a8910b27-e9f1-4e60-b259-6120009f6a30\bin\Release\net8.0/" in C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1\bin\Release\net8.0\a8910b27-e9f1-4e60-b259-6120009f6a30
// command took 1.05 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1\bin\Release\net8.0\a8910b27-e9f1-4e60-b259-6120009f6a30\obj\Release\net8.0/" /p:OutDir="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1\bin\Release\net8.0\a8910b27-e9f1-4e60-b259-6120009f6a30\bin\Release\net8.0/" /p:OutputPath="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1\bin\Release\net8.0\a8910b27-e9f1-4e60-b259-6120009f6a30\bin\Release\net8.0/" --output "C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1\bin\Release\net8.0\a8910b27-e9f1-4e60-b259-6120009f6a30\bin\Release\net8.0/" in C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1\bin\Release\net8.0\a8910b27-e9f1-4e60-b259-6120009f6a30
// command took 3.62 sec and exited with 0
// ***** Done, took 00:00:04 (4.73 sec)   *****
// Found 1 benchmarks:
//   SpellCheckerBenchmark.LinearCheck: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: SpellCheckerBenchmark.LinearCheck: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet a8910b27-e9f1-4e60-b259-6120009f6a30.dll --anonymousPipes 1376 1360 --benchmarkName ALGORITHMS.ASSIGNMENT2.PART1.SpellCheckerBenchmark.LinearCheck --job Default --benchmarkId 0 in C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1\bin\Release\net8.0\a8910b27-e9f1-4e60-b259-6120009f6a30\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.15 (8.0.1525.16413), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 276900.00 ns, 276.9000 us/op
WorkloadJitting  1: 1 op, 4687843300.00 ns, 4.6878 s/op

OverheadJitting  2: 1 op, 1300.00 ns, 1.3000 us/op
WorkloadJitting  2: 1 op, 4733665400.00 ns, 4.7337 s/op

WorkloadWarmup   1: 1 op, 4613172200.00 ns, 4.6132 s/op
WorkloadWarmup   2: 1 op, 4639179700.00 ns, 4.6392 s/op
WorkloadWarmup   3: 1 op, 4984006600.00 ns, 4.9840 s/op
WorkloadWarmup   4: 1 op, 4623037200.00 ns, 4.6230 s/op
WorkloadWarmup   5: 1 op, 4620004200.00 ns, 4.6200 s/op
WorkloadWarmup   6: 1 op, 4973660100.00 ns, 4.9737 s/op
WorkloadWarmup   7: 1 op, 5144815000.00 ns, 5.1448 s/op
WorkloadWarmup   8: 1 op, 5098629400.00 ns, 5.0986 s/op

// BeforeActualRun
WorkloadActual   1: 1 op, 4992008700.00 ns, 4.9920 s/op
WorkloadActual   2: 1 op, 4999866000.00 ns, 4.9999 s/op
WorkloadActual   3: 1 op, 5456646500.00 ns, 5.4566 s/op
WorkloadActual   4: 1 op, 5078491500.00 ns, 5.0785 s/op
WorkloadActual   5: 1 op, 5125118500.00 ns, 5.1251 s/op
WorkloadActual   6: 1 op, 4950253400.00 ns, 4.9503 s/op
WorkloadActual   7: 1 op, 4809981500.00 ns, 4.8100 s/op
WorkloadActual   8: 1 op, 4719768400.00 ns, 4.7198 s/op
WorkloadActual   9: 1 op, 4686594300.00 ns, 4.6866 s/op
WorkloadActual  10: 1 op, 4868900600.00 ns, 4.8689 s/op
WorkloadActual  11: 1 op, 4756850300.00 ns, 4.7569 s/op
