// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\obj\Release\net8.0/" /p:OutDir="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\bin\Release\net8.0/" /p:OutputPath="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\bin\Release\net8.0/" in C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c
// command took 1.15 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\obj\Release\net8.0/" /p:OutDir="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\bin\Release\net8.0/" /p:OutputPath="C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\bin\Release\net8.0/" --output "C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\bin\Release\net8.0/" in C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c
// command took 3.58 sec and exited with 0
// ***** Done, took 00:00:04 (4.74 sec)   *****
// Found 4 benchmarks:
//   DictionaryBuildBenchmark.BuildLinear: DefaultJob
//   DictionaryBuildBenchmark.BuildBst: DefaultJob
//   DictionaryBuildBenchmark.BuildHashSet: DefaultJob
//   DictionaryBuildBenchmark.BuildTrie: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: DictionaryBuildBenchmark.BuildLinear: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 84e0de06-c74e-4534-81a9-a7262036054c.dll --anonymousPipes 1648 1756 --benchmarkName DictionaryBuildBenchmark.BuildLinear --job Default --benchmarkId 0 in C:\dev\ALGORITHMS.ASSIGNMENT2.PART1\ALGORITHMS.ASSIGNMENT2.PART1A\bin\Release\net8.0\84e0de06-c74e-4534-81a9-a7262036054c\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 167700.00 ns, 167.7000 us/op
WorkloadJitting  1: 1 op, 17925500.00 ns, 17.9255 ms/op

OverheadJitting  2: 16 op, 391000.00 ns, 24.4375 us/op
WorkloadJitting  2: 16 op, 320752500.00 ns, 20.0470 ms/op

WorkloadPilot    1: 16 op, 271750200.00 ns, 16.9844 ms/op
WorkloadPilot    2: 32 op, 653954700.00 ns, 20.4361 ms/op

OverheadWarmup   1: 32 op, 3100.00 ns, 96.8750 ns/op
OverheadWarmup   2: 32 op, 700.00 ns, 21.8750 ns/op
OverheadWarmup   3: 32 op, 600.00 ns, 18.7500 ns/op
OverheadWarmup   4: 32 op, 500.00 ns, 15.6250 ns/op
OverheadWarmup   5: 32 op, 600.00 ns, 18.7500 ns/op
OverheadWarmup   6: 32 op, 700.00 ns, 21.8750 ns/op
OverheadWarmup   7: 32 op, 700.00 ns, 21.8750 ns/op
OverheadWarmup   8: 32 op, 600.00 ns, 18.7500 ns/op
OverheadWarmup   9: 32 op, 600.00 ns, 18.7500 ns/op

OverheadActual   1: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual   2: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual   3: 32 op, 700.00 ns, 21.8750 ns/op
OverheadActual   4: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual   5: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual   6: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual   7: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual   8: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   9: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  10: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  11: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  12: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  13: 32 op, 500.00 ns, 15.6250 ns/op
